,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
51,Malta,1971,0.175246412,0.65,0.432,0.189947888,2.162,74.272,0.662333049,..,0.662333049,0,..,0
52,Republic of Moldova,1971,..,..,..,..,..,..,..,..,..,..,..,..
53,Montenegro,1971,..,..,..,..,..,..,..,..,..,..,..,..
54,Republic of North Macedonia,1971,..,..,..,..,..,..,..,..,..,..,..,..
55,Romania,1971,0.064680115,2.173,0.902,0,5.604,65.003,115.839888,10763.4466,30.11406397,52.39593257,126.6033346,32.82522526
56,Russian Federation,1971,..,..,..,..,..,..,..,218992.1005,..,..,218.9921005,..
57,Serbia,1971,..,..,..,..,..,..,..,..,..,..,..,..
58,Tajikistan,1971,..,..,..,..,..,..,..,..,..,..,..,..
59,Turkmenistan,1971,..,..,..,..,..,..,..,25075.42665,..,..,25.07542665,..
60,Ukraine,1971,..,..,..,..,..,..,..,1801.19325,..,..,1.80119325,..
61,Uzbekistan,1971,..,..,..,..,..,..,..,5137.91489,..,..,5.13791489,..
62,Former Soviet Union (if no detail),1971,67.33154974,2.124,0.764,13.31279863,7.985,60.355,1961.930699,..,645.2051226,422.5887107,..,891.2094845
63,Former Yugoslavia (if no detail),1971,0.648845332,0.903,0.395,0,3.017,67.365,62.60535115,..,24.13688105,1.269281666,..,36.95936148
64,Algeria,1971,0.292902876,0.284,0.099,0.61509066,0.609,59.253,8.690743282,32172.90855,5.920485572,2.383026355,40.86365183,0.384980129
65,Angola,1971,0.229600817,0.042,0.024,0.777670236,0.262,10.032,2.430847053,3739.991821,1.5557448,0.084804962,6.170838874,0
66,Benin,1971,0.015891481,0.118,0.044,0,0.099,6.585,0.514828865,0.1051809,0.3103786,0,0.5149340459,0
67,Botswana,1971,0.003189042,0.23,0.1,0,0.246,17.369,0.207299294,0,0.151253289,0,0.207299294,0
68,Cameroon,1971,0.169011721,0.119,0.048,0,0.111,6.504,1.562430708,0.408343,0.749360388,0,1.562839051,0
69,Congo,1971,0,0.314,0.165,0,0.398,26.932,0.664078194,235.3869076,0.577480956,0.004245362,0.8994651016,0
70,Côte d'Ivoire,1971,0.130745018,0.169,0.072,0.062229567,0.42,23.364,2.776274691,0.8711155,2.433882187,0,2.777145807,0
71,Dem. Rep. of Congo,1971,0.280147308,0.106,0.058,0.407603795,0.124,9.214,4.207519364,0.9698353,1.58556206,0,4.208489199,1.018046865
72,Egypt,1971,0.212093269,0.519,0.155,0.059847415,0.564,52.734,20.46371175,8254.225635,18.62397804,0.165213153,28.71793739,1.423454434
73,Equatorial Guinea,1971,..,..,..,..,..,..,..,0,..,..,..,..
74,Eritrea,1971,..,..,..,..,..,..,..,0,..,..,..,..
75,Kingdom of Eswatini,1971,0.003189042,0.368,0.153,0,0.491,9.315,0.397943006,0,0.227342338,0,0.397943006,0
76,Ethiopia,1971,0.143394921,0.133,0.05,0.069520128,0.045,2.944,4.757303649,0.6059573,1.325740061,0,4.757909606,0
