,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
1042,Lao People's Democratic Republic,1977,..,..,..,..,..,..,..,..,..,..,..,..
1043,Malaysia,1977,0.589840688,0.524,0.21,0.176750662,1.433,55.569,17.9070996,6031.426843,17.58622527,0.056164028,23.93852644,0.042771273
1044,Mongolia,1977,..,..,..,..,..,..,..,..,..,..,..,..
1045,Myanmar,1977,0.025458306,0.779,0.214,0,0.142,12.065,6.875932643,..,3.574842659,0.407123663,..,0.551996827
1046,Nepal,1977,0.031888919,0.06,0.018,0,0.02,1.641,1.778877724,..,0.243974785,0,..,0.047879137
1047,Pakistan,1977,1.213388269,0.437,0.134,0.343142665,0.28,22.584,24.67813134,1566.519663,10.45041296,7.798036681,26.244651,2.236354131
1048,Philippines,1977,0.891226814,0.414,0.173,0.691373319,0.719,39.497,34.80061895,11.6123875,32.11045715,0,34.81223133,0.321538683
1049,Singapore,1977,2.206560104,0.393,0.251,12.96165219,4.378,59.298,10.26646275,..,10.15638604,0.086794139,..,0.019466793
1050,Sri Lanka,1977,0.003135913,0.247,0.082,1.399274853,0.204,16.935,3.904479799,..,2.949351572,0,..,0.003036851
1051,Chinese Taipei,1977,2.384739077,1.033,0.501,0.637890191,3.137,65.774,53.82141031,..,42.64420011,2.601765963,..,8.575444233
1052,Thailand,1977,1.7406634,0.495,0.183,0.081858104,0.629,31.989,29.07827029,18.5902275,26.62285842,0,29.09686052,0.63288947
1053,Viet Nam,1977,0,0.529,0.181,0,0.258,23.456,15.57142524,1711.97145,2.198096657,0,17.28339669,10.74131825
1054,Other Asia,1977,0.226411775,0.425,0.224,0.345556676,0.484,48.735,15.24569112,..,7.758056627,0.534542925,..,6.017791169
1055,People's Rep. of China,1977,0,3.677,2.285,3.033693026,1.286,53.194,1303.604244,70988.10678,246.9779204,23.87362077,1374.592351,969.7812052
1056,"Hong Kong, China",1977,2.037707176,0.304,0.229,1.850870313,3.176,76.601,14.6401954,..,14.4904458,0.105090345,..,0.042048398
1057,"China (incl. Hong Kong, China)",1977,2.037707176,3.25,2.065,4.884563339,1.295,53.388,1318.244439,70988.10678,261.4683662,23.97871112,1389.232546,969.8232536
1058,Argentina,1977,1.058714812,0.31,0.231,1.108348563,3.448,58.04,93.15106505,22058.48573,71.1113653,18.1820298,115.2095508,3.657227014
1059,Bolivia,1977,0,0.55,0.234,0,0.699,51.594,3.884452972,9181.702528,3.394733869,0.413411758,13.0661555,0
1060,Brazil,1977,0.54431878,0.253,0.151,1.272659354,1.29,35.522,158.180338,3115.93235,137.7454969,1.412823535,161.2962704,9.907451733
1061,Cuba,1977,0.548607656,0.797,0.256,0,2.84,48.998,27.97266437,62.1724825,27.18499705,0.186168044,28.03483685,0.317122976
1062,Curaçao,1977,0.130691889,6.999,5.56,7.047472816,64.22,62.474,11.04210385,..,11.04210385,0,..,0
1063,Dominican Republic,1977,0.102044841,0.414,0.194,0,1.058,41.627,5.962367413,..,5.74640316,0,..,0
1064,Ecuador,1977,0.232789559,0.265,0.147,0,1.078,46.16,8.536789719,3315.803007,8.223807042,0,11.85259273,0
1065,El Salvador,1977,0.06696688,0.137,0.067,0,0.473,17.873,2.528579815,..,2.040022112,0,..,0.003036851
1066,Guatemala,1977,0.158545573,0.162,0.079,0.38308265,0.521,21.124,4.198217233,..,3.383783155,0,..,0
1067,Guyana,1977,0.012755568,0.738,0.367,0,2.453,49.312,1.918712134,0,1.879092107,0,1.918712134,0
1068,Haiti,1977,0.035077961,0.068,0.031,0,0.112,6.784,1.067971716,..,0.603595144,0,..,0
1069,Honduras,1977,0.041455745,0.273,0.13,0,0.459,22.234,1.9568372,..,1.597176743,0,..,0
1070,Jamaica,1977,0.258300994,0.747,0.417,0.188727113,3.386,67.962,7.039491607,..,7.006242412,0,..,0
1071,Nicaragua,1977,0.073344664,0.308,0.119,0,0.859,35.975,2.880954888,..,2.64482088,0,..,0
1072,Panama,1977,0.762147115,0.372,0.2,2.998296524,1.692,44.055,3.233893933,..,3.121174973,0,..,0
1073,Paraguay,1977,0.05866979,0.13,0.061,0,0.392,15.666,1.478224826,0.4881833,1.135063608,0,1.478713009,0
1074,Peru,1977,0.743013763,0.281,0.151,0.096455959,1.121,39.856,19.46913909,3363.349632,16.93392486,0.898913996,22.83248872,0.564482731
1075,Suriname,1977,..,..,..,..,..,..,..,..,..,..,..,..
1076,Trinidad and Tobago,1977,0.079722448,0.737,0.49,3.460524544,5.49,48.573,5.987268414,9803.579945,3.094916303,2.885491734,15.79084836,0
1077,Uruguay,1977,0,0.227,0.175,0.208583197,1.778,51.082,5.35782377,1.4006515,5.158449144,0,5.359224422,0.067261773
1078,Venezuela,1977,0.537219583,0.154,0.153,3.16299132,4.411,57.509,62.53871903,154993.1715,38.71056306,22.63348353,217.5318905,1.103483491
1079,Other Non-OECD Americas,1977,0.558057433,0.157,0.137,2.954318085,1.855,37.028,8.828329344,..,8.68926009,0.009325912,..,0.101315562
1080,Bahrain,1977,1.125681692,0.97,0.482,0.18930339,19.991,60.569,6.316916367,5397.082878,1.556162999,4.760753368,11.71399925,0
1081,Islamic Rep. of Iran,1977,6.030210039,0.341,0.126,1.400165913,2.508,61.588,88.30292721000001,192113.8992,76.82218715,9.308859961,280.4168264,2.1419757
1082,Iraq,1977,0.860950085,1.905,0.915,0.342262944,1.627,61.828,20.38110728,46526.24338,17.30505111,3.072790782,66.90735066,0
1083,Jordan,1977,0.242356385,0.452,0.199,0,1.396,67.469,2.834961141,2.54225,2.834709056,0,2.837503391,0
1084,Kuwait,1977,0.832249908,0.386,0.244,6.40242578,14.489,55.471,18.20961736,24179.45859,6.693431954,11.51602224,42.38907596,0
1085,Lebanon,1977,0.245888945,0.217,0.11,0.031114784,1.334,60.722,4.708364063,2.369585,4.650817181,0,4.710733648,0.017691606
1086,Oman,1977,0.315648219,0.111,0.057,2.084691477,1.513,42.028,1.33453788,15477.88126,1.33453788,0,16.81241914,0
1087,Qatar,1977,0.226411775,0.202,0.137,0,17.83,55.624,4.071461164,11181.00508,1.200825794,2.870178621,15.25246624,0
1088,Saudi Arabia,1977,2.404430495,0.112,0.048,31.31092328,3.934,72.427,34.78247393,155126.4859,26.49041423,8.291733341,189.9089598,0
1089,Syrian Arab Republic ,1977,0.864033163,1.008,1.173,1.966828968,1.253,62.495,10.1716477,17322.52772,10.08934174,0.070653991,27.49417542,0.011264933
1090,United Arab Emirates,1977,0.43661479,0.15,0.089,0,14.998,61.646,10.67160144,68583.69025,4.009508154,6.662093283,79.25529169,0
1091,Yemen,1977,0.178472583,0.216,0.134,2.365004215,0.263,57.551,2.238867211,2.9522325,2.233515646,0,2.241819444,0
1092,Canada,1978,1.846373062,0.632,0.617,5.612862846,16.823,53.135,409.2327124,20816.41453,245.9956914,91.41470004,430.0491269,70.71925939
1093,Chile,1978,0.525639606,0.415,0.248,0.267587269,1.784,53.391,20.06140376,310.044065,14.49004635,1.174517057,20.37144783,3.927845666
1094,Colombia,1978,1.250289608,0.42,0.195,0.271494465,1.283,47.899,34.93941951,4062.089355,19.7369341,4.821608968,39.00150886,8.930045868
1095,Costa Rica,1978,0,0.174,0.119,0,1.112,46.237,2.542071903,..,2.479970988,0,..,0.002458573
1096,Mexico,1978,3.096421988,0.397,0.208,0.945889942,2.565,53.111,174.1483295,39350.38198,133.1135813,30.73800504,213.4987114,8.274904518
1097,United States,1978,19.75204655,0.693,0.693,66.17643888,21.431,60.667,4831.863678,239965.8163,2411.857779,1066.333177,5071.829494,1348.613981
1098,Australia,1978,2.227225096,0.498,0.552,4.718644477,13.242,68.66,193.9205518,10013.79048,87.27613349,12.60838385,203.9343422,93.30433291
1099,Israel,1978,2.298930691,0.274,0.277,0,5.031,65.031,18.74508402,8.864995,18.74002796,0.001265724,18.75394901,0.002860271
1100,Japan,1978,4.734444033,0.429,0.367,41.59049641,7.777,64.243,902.3880058,4864.829925,687.8790587,38.45430654,907.2528357,176.0546405
1101,Korea,1978,0.62044117,0.743,0.563,0.240762486,2.906,74.206,110.4750821,14939.05383,69.49576342,0,125.4141359,40.97931867
1102,New Zealand,1978,0.496352936,0.26,0.267,1.135617922,5.822,45.976,18.56161786,284.6255025,11.08211828,3.031258856,18.84624336,4.37633482
1103,Austria,1978,0.292077354,0.292,0.259,0,7.097,58.585,54.6614635,..,32.56226936,8.672199351,..,13.16627925
1104,Belgium,1978,1.047421118,0.572,0.508,8.772955477,13.117,64.758,130.0281494,..,69.79476837,18.55826424,..,41.66966758
1105,Czech Republic,1978,0.778211402,1.767,0.929,0,16.508,89.069,172.1035939,..,30.8050663,4.373800176,..,136.9247275
1106,Denmark,1978,1.829332968,0.375,0.407,1.556082328,11.665,71.55,60.1368605,317.6700875,45.60693403,0.001010733,60.45453059,14.23753258
1107,Estonia,1978,..,..,..,..,..,..,..,38.39815,..,..,0.03839815,..
1108,Finland,1978,0.384312591,0.536,0.54,0.81472857,11.496,58.867,55.56133408,..,35.03832026,1.909960345,..,18.10111236
1109,France,1978,5.74316606,0.379,0.34,15.18423548,8.564,60.645,475.9596696,2089.99285,313.0588493,38.54713227,478.0496624,121.5493687
1110,Germany,1978,8.925367055,0.595,0.513,10.49910688,13.469,71.736,1063.915617,4991.76895,427.2042914,103.554792,1068.907386,529.1721822
1111,Greece,1978,2.407333352,0.3,0.203,3.228384995,4.476,70.819,43.18594954,..,30.40629543,0,..,12.61589681
1112,Hungary,1978,0.335120585,1.105,0.524,0,7.946,70.895,86.09497219,..,32.93112866,13.89738054,..,39.10787982
1113,Iceland,1978,0.205991492,0.283,0.305,0,7.848,32.89,1.776135531,..,1.776135531,0,..,0
1114,Ireland,1978,0.799369963,0.405,0.364,0.241728194,7.002,76.415,23.71075226,..,16.5071153,0,..,7.203636962
1115,Italy,1978,3.551047363,0.295,0.241,17.58086051,6.024,64.012,341.2104757,2672.798675,261.1875435,45.32667637,343.8832744,34.49502964
1116,Latvia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1117,Lithuania,1978,..,..,..,..,..,..,..,..,..,..,..,..
1118,Luxembourg,1978,0.187544564,0.974,0.952,0,39.119,84.201,14.23879407,..,4.092985432,1.068278954,..,9.042735132
1119,Netherlands,1978,2.302021589,0.401,0.36,35.49819828,10.261,52.539,144.057698,321.55977,58.14390529,73.55607949,144.3792578,12.33550843
1120,Norway,1978,0.584155007,0.18,0.222,1.342666255,6.673,36.554,27.49430323,527.1742493,22.24693947,1.630954316,28.02147748,3.495896252
1121,Poland,1978,0.633517446,1.877,0.879,2.330602191,11.43,78.354,406.6025909,1131.276735,41.86383937,14.75961638,407.7338676,347.3991535
1122,Portugal,1978,0.958599133,0.219,0.142,1.814916061,2.047,53.849,20.09795641,..,18.26530091,0,..,1.688409534
1123,Slovak Republic,1978,0,0.993,0.541,0,10.36,62.959,51.03906959,..,16.58032337,6.236460864,..,28.18301805
1124,Slovenia,1978,..,..,..,..,..,..,..,0,..,..,..,..
1125,Spain,1978,3.132915604,0.308,0.227,4.439461022,4.41,60.552,165.7956072,..,125.7678439,2.449544869,..,37.57225837
1126,Sweden,1978,0.501143533,0.362,0.38,3.450089667,9.376,44.635,78.83825938,14.837145,73.01031849,0,78.85309653,5.350559394
1127,Switzerland,1978,2.102958146,0.114,0.146,0,6.333,50.92,40.66421143,..,38.21564183,1.45406035,..,0.917745258
1128,Republic of Türkiye,1978,0.156799485,0.36,0.154,0,1.713,54.849,76.91043548,..,49.28747978,0,..,24.91192091
1129,United Kingdom,1978,8.479476468,0.42,0.444,8.169154034,10.522,68.349,598.1758518,14842.18865,238.7542434,85.26278239,613.0180404,274.1588259
1130,Albania,1978,0,1.266,0.429,0,2.19,51.739,5.821237743,..,2.743297925,0.705635661,..,2.235778929
1131,Armenia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1132,Azerbaijan,1978,..,..,..,..,..,..,..,50120.13632,..,..,50.12013632,..
1133,Belarus,1978,..,..,..,..,..,..,..,..,..,..,..,..
1134,Bosnia and Herzegovina,1978,..,..,..,..,..,..,..,..,..,..,..,..
1135,Bulgaria,1978,0.92234998,1.916,0.737,0,8.965,72.16,79.86434917,..,38.70079235,5.500369536,..,35.58499405
1136,Croatia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1137,Cyprus,1978,0.187549812,0.486,0.357,0.040793979,4.485,70.532,2.255135323,..,2.254181319,0,..,0
1138,Georgia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1139,Gibraltar,1978,0.01537254,0.104,0.127,4.173097953,1.994,52.67,0.056429942,..,0.056429942,0,..,0
1140,Kazakhstan,1978,..,..,..,..,..,..,..,17342.31995,..,..,17.34231995,..
1141,Kosovo,1978,..,..,..,..,..,..,..,..,..,..,..,..
1142,Kyrgyzstan,1978,..,..,..,..,..,..,..,..,..,..,..,..
1143,Malta,1978,0.175246412,0.43,0.286,0.09397186,2.959,74.314,0.925165514,..,0.925165514,0,..,0
1144,Republic of Moldova,1978,..,..,..,..,..,..,..,..,..,..,..,..
1145,Montenegro,1978,..,..,..,..,..,..,..,..,..,..,..,..
1146,Republic of North Macedonia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1147,Romania,1978,0.046199914,1.644,0.682,0,7.944,64.937,175.717556,11849.28493,52.61916649,76.06597252,187.566841,46.5956701
1148,Russian Federation,1978,..,..,..,..,..,..,..,310338.5965,..,..,310.3385965,..
1149,Serbia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1150,Tajikistan,1978,..,..,..,..,..,..,..,..,..,..,..,..
1151,Turkmenistan,1978,..,..,..,..,..,..,..,44630.1904,..,..,44.6301904,..
1152,Ukraine,1978,..,..,..,..,..,..,..,3015.938,..,..,3.015938,..
1153,Uzbekistan,1978,..,..,..,..,..,..,..,7814.103468,..,..,7.814103468,..
1154,Former Soviet Union (if no detail),1978,68.25389913,2.074,0.746,15.17040138,10.647,62.692,2781.924058,..,1056.75848,602.3382334,..,1120.191345
1155,Former Yugoslavia (if no detail),1978,0.833212493,0.808,0.354,0,3.893,67.002,85.73427924,..,38.69013849,3.110758807,..,43.8176456
1156,Algeria,1978,0.774637932,0.381,0.133,0.860024127,1.221,59.196,21.7194289,69732.51004,11.92136914,9.453217247,91.45193894,0.342148007
1157,Angola,1978,0.296567697,0.069,0.039,0.490728749,0.331,13.929,3.469251083,5786.450908,2.469622317,0.139387378,9.255701991,0
1158,Benin,1978,0.031888919,0.128,0.048,0,0.105,7.035,0.625126176,0.1590988,0.389391898,0,0.6252852748,0
1159,Botswana,1978,0.003189042,0.63,0.276,0,1.233,50.96,1.128425202,0,0.351496686,0,1.128425202,0.705036999
1160,Cameroon,1978,0.188145072,0.132,0.054,0,0.178,10.026,2.419486174,265.54555,1.456746926,0,2.685031724,0
1161,Congo,1978,0.063778138,0.278,0.147,0,0.389,27.092,0.785456768,1413.935281,0.689462569,0.000454936,2.199392049,0
1162,Côte d'Ivoire,1978,0.245545426,0.167,0.071,0.006417043,0.517,27.342,4.4698623,1.674754,4.033172204,0,4.471537054,0
1163,Dem. Rep. of Congo,1978,0.401378036,0.122,0.067,0.093344351,0.114,8.496,4.848505888,499.9159298,2.032553007,0,5.348421818,0.859383059
1164,Egypt,1978,0.32629736,0.539,0.161,2.230882261,0.792,55.819,33.46784,10222.18269,29.80770131,0.953575904,43.69002269,2.446832575
1165,Equatorial Guinea,1978,..,..,..,..,..,..,..,0,..,..,..,..
1166,Eritrea,1978,..,..,..,..,..,..,..,0,..,..,..,..
1167,Kingdom of Eswatini,1978,0.003189042,0.661,0.276,0,0.995,16.083,0.780543088,0,0.279008279,0,0.780543088,0.291366532
1168,Ethiopia,1978,0.098750135,0.128,0.048,0.031114784,0.037,2.417,5.313467708,0.6587808,1.273230211,0,5.314126489,0
1169,Gabon,1978,0.069838336,0.257,0.129,0.188144349,2.448,27.006,1.931783145,9391.155668,1.757245701,0,11.32293881,0
1170,Ghana,1978,0.105233583,0.242,0.083,0.096255956,0.226,15.564,3.280871503,0.9812975,2.573040871,0,3.281852801,0
1171,Kenya,1978,1.045959244,0.232,0.092,0.687916533,0.275,14.338,5.359962836,2.2009875,4.104337114,0,5.362163824,0.1288008
1172,Libya,1978,0.558057433,0.161,0.057,0.037337676,4.994,63.155,13.53244082,69187.20397,9.70249484,3.784434673,82.71964479,0
1173,Madagascar,1978,0.018446928,0.141,0.043,0.09197459,0.093,12.156,1.222956231,0,0.798949648,0,1.222956231,0
1174,Mauritius,1978,0.13393376,0.251,0.121,0.171901739,0.647,32.447,0.63500087,..,0.609305515,0,..,0
1175,Morocco,1978,0.577137956,0.468,0.192,0.164126286,0.666,59.587,12.82240889,33.8627375,10.49298466,0.160563402,12.85627163,1.898889657
1176,Mozambique,1978,0.095667057,0.758,0.346,0.215268479,0.185,7.323,3.493124407,28.767591,1.421004181,0,3.521891998,0.588341109
1177,Namibia,1978,..,..,..,..,..,..,..,0,..,..,..,..
1178,Niger,1978,0.044644487,0.095,0.04,0,0.061,9.069,0.646659325,0,0.358128369,0,0.646659325,0
1179,Nigeria,1978,1.004186213,0.159,0.08,0.142442916,0.298,10.925,33.76174463,102699.8635,18.44932531,1.826390014,136.4616081,0.551753484
1180,Rwanda,1978,0.012302342,0.075,0.031,0,0.027,0.571,1.057773424,0,0.133758166,0,1.057773424,0
1181,Senegal,1978,0.376290145,0.329,0.135,1.653216334,0.324,28.88,1.954866237,1.2727903,1.784712055,0,1.956139027,0
1182,South Africa,1978,0.916128544,1.353,0.618,3.753185841,6.969,75.682,198.6840652,12197.90591,36.66874912,0,210.8819711,160.3639312
1183,South Sudan,1978,..,..,..,..,..,..,..,0,..,..,..,..
1184,Sudan,1978,0.171883177,0.108,0.053,0.012834086,0.16,9.408,4.045884924,1.7088843,3.128302495,0,4.047593808,0
1185,United Rep. of Tanzania,1978,0.165611057,0.172,0.069,0.093344351,0.082,6.409,2.847571827,0.7875683,1.504139994,0,2.848359395,0.002458573
1186,Togo,1978,0,0.142,0.058,0,0.127,9.6,0.492727212,0.1478755,0.34826573,0,0.4928750875,0
1187,Tunisia,1978,0.778091724,0.588,0.222,0.037725978,1.001,54.137,6.454400958,3165.404488,5.301266254,0.665653295,9.619805446,0.353147659
1188,Uganda,1978,0.003189042,0.627,0.218,0,0.054,3.243,2.01114081,0,0.704120597,0,2.01114081,0
1189,Zambia,1978,0.175336376,0.569,0.222,0,0.673,19.613,4.308372334,..,2.071426305,0,..,1.594360034
1190,Zimbabwe,1978,0.251447131,1.171,0.631,0,1.08,28.027,8.453488308,..,1.761746017,0,..,5.443010669
1191,Other Africa,1978,0.647346706,0.223,0.093,1.685695689,0.142,8.772,13.25489861,..,7.179244421,0,..,0.1325327
1192,Bangladesh,1978,0.105127919,0.125,0.044,0.101313955,0.065,16.36,7.193689085,188.3971315,3.754901058,0.977031992,7.382086217,0.498546133
1193,Brunei Darussalam,1978,0.054211312,0.195,0.097,0,10.63,45.289,1.880060378,4400.460186,0.236642408,1.641820346,6.280520564,0
1194,Cambodia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1195,DPR of Korea,1978,0,4.906,1.358,0,5.372,83.796,94.85874131,..,5.61942664,0,..,89.13267165
1196,India,1978,2.57599333,0.921,0.276,0.576291485,0.347,33.923,259.4088023,15578.97095,71.84246772,1.94606486,274.9877732,159.6663568
1197,Indonesia,1978,0.717502628,0.448,0.146,0.857591886,0.372,24.543,63.31779654,43121.19428,50.25459646,2.319704241,106.4389908,0.496773952
1198,Lao People's Democratic Republic,1978,..,..,..,..,..,..,..,..,..,..,..,..
1199,Malaysia,1978,0.666109643,0.546,0.219,0.157204083,1.551,47.592,19.85701379,5512.783872,19.42574266,0.122430709,25.36979766,0.090549864
1200,Mongolia,1978,..,..,..,..,..,..,..,..,..,..,..,..
1201,Myanmar,1978,0.025405471,0.758,0.208,0,0.144,12.319,7.069941204,..,3.617330986,0.477379424,..,0.594397761
1202,Nepal,1978,0.035077961,0.056,0.017,0,0.019,1.57,1.80601764,..,0.247203411,0,..,0.038303389
1203,Pakistan,1978,1.361966235,0.424,0.13,0.25774714,0.285,22.732,25.81206248,1665.54614,11.12793347,8.282779407,27.47760862,2.081100942
1204,Philippines,1978,0.995551252,0.407,0.17,0.590645472,0.724,40.298,35.964871,11.868445,33.01226093,0,35.97673944,0.53252481
1205,Singapore,1978,2.477510708,0.421,0.269,15.24925189,4.994,53.868,11.84836875,..,11.7270183,0.097905253,..,0.020637688
1206,Sri Lanka,1978,0.003135913,0.268,0.089,1.058958934,0.23,18.45,4.361357001,..,3.382265675,0,..,0.009111003
1207,Chinese Taipei,1978,1.947202477,1.042,0.505,1.793864156,3.492,62.469,60.93368511,..,49.23362994,2.188635767,..,9.511419403
1208,Thailand,1978,1.794821584,0.504,0.186,0.402742597,0.69,34.513,32.31960708,18.7623868,29.70537035,0,32.33836946,0.833033912
1209,Viet Nam,1978,0,0.541,0.185,0,0.264,24.062,16.29815058,1656.954798,2.825383173,0,17.95510538,10.78108754
1210,Other Asia,1978,0.277169595,0.409,0.218,0.46738389,0.492,49.322,15.69053832,..,7.692800225,0.313967901,..,6.734312358
1211,People's Rep. of China,1978,0,3.735,2.322,3.092810986,1.435,55.521,1466.034093,79654.14668,270.2050751,26.98470087,1545.688239,1105.02448
1212,"Hong Kong, China",1978,2.018573824,0.299,0.225,1.713932208,3.312,73.793,15.54528116,..,15.36778172,0.126708951,..,0.048016447
1213,"China (incl. Hong Kong, China)",1978,2.018573824,3.311,2.103,4.806743194,1.444,55.674,1481.579374,79654.14668,285.5728568,27.11140982,1561.233521,1105.072497
1214,Argentina,1978,1.230915275,0.321,0.238,1.145589325,3.346,55.75,91.90252704,22635.61895,70.3340297,17.19327917,114.538146,4.178036085
1215,Bolivia,1978,0,0.586,0.25,0,0.743,51.801,4.222146784,9835.347565,3.6722941,0.471885696,14.05749435,0
1216,Brazil,1978,0.566216386,0.263,0.157,1.326367122,1.373,36.362,171.1687308,4088.8212,148.4668075,1.396366148,175.257552,12.4836574
1217,Cuba,1978,0.934552821,0.808,0.26,0,3.054,50.019,30.26153974,67.8906625,29.35324666,0.213749493,30.32943041,0.377377238
1218,Curaçao,1978,0.146636499,5.772,4.585,7.046302382,54.212,59.64,9.333421111,..,9.333421111,0,..,0
1219,Dominican Republic,1978,0.121178192,0.416,0.195,0,1.061,41.679,6.116206561,..,5.895739777,0,..,0
1220,Ecuador,1978,0.331645658,0.286,0.159,0.022459651,1.198,51.141,9.684233183,3567.088652,9.384849387,0,13.25132184,0
1221,El Salvador,1978,0.070155922,0.13,0.064,0,0.466,16.96,2.554698604,..,2.052136496,0,..,0.003036851
1222,Guatemala,1978,0.152591332,0.173,0.085,0.37783019,0.572,23.169,4.632114188,..,3.801468801,0,..,0
1223,Guyana,1978,0.012755568,0.708,0.352,0,2.287,45.08,1.823757485,0,1.770854139,0,1.823757485,0
1224,Haiti,1978,0.038266703,0.07,0.032,0,0.119,7.121,1.13105242,..,0.65448749,0,..,0
1225,Honduras,1978,0.054211312,0.258,0.123,0,0.446,21.761,1.971283473,..,1.604418081,0,..,0
1226,Jamaica,1978,0.271056562,0.766,0.428,0.117065808,3.431,68.03,7.217561727,..,7.182662568,0,..,0
1227,Nicaragua,1978,0.057400055,0.301,0.117,0,0.753,33.542,2.628409447,..,2.387818357,0,..,0
1228,Panama,1978,0.471957202,0.32,0.172,3.449751952,1.56,43.026,3.065009179,..,2.950852928,0,..,0
1229,Paraguay,1978,0.077485855,0.145,0.068,0,0.479,17.602,1.777251215,0.604503,1.422265705,0,1.777855718,0
1230,Peru,1978,0.717502628,0.291,0.157,0.093344351,1.104,41.458,19.6359401,3356.74731,17.06186889,0.955954149,22.99268741,0.544448911
1231,Suriname,1978,..,..,..,..,..,..,..,..,..,..,..,..
1232,Trinidad and Tobago,1978,0.127555976,0.663,0.441,3.142347965,5.359,40.013,5.928173875,9354.592228,2.855715308,3.065765728,15.2827661,0
1233,Uruguay,1978,0,0.22,0.17,0.249772103,1.81,51.074,5.483640196,1.4367313,5.325188198,0,5.485076927,0.025217826
1234,Venezuela,1978,0.53063193,0.164,0.163,2.89158598,4.662,57.957,68.02166373,148226.5576,45.10295642,22.49985889,216.2482213,0.327618778
1235,Other Non-OECD Americas,1978,0.835491779,0.147,0.129,2.826747342,1.838,45.027,8.839823601,..,8.697421289,0.018942157,..,0.095571604
1236,Bahrain,1978,1.230915275,0.951,0.473,0.211763041,20.173,62.838,6.699456828,5585.758059,1.590689834,5.108766994,12.28521489,0
1237,Islamic Rep. of Iran,1978,5.449830212,0.388,0.143,1.303710278,2.405,62.926,87.40103127,182775.0783,78.85328282,7.19469922,270.1761096,1.328878434
1238,Iraq,1978,0.905594572,1.832,0.88,0.373377728,1.772,61.082,22.94714999,49770.39909,19.67904463,3.264839971,72.71754908,0
1239,Jordan,1978,0.366723619,0.474,0.208,0,1.626,66.141,3.410396473,3.1347625,3.410144388,0,3.413531236,0
1240,Kuwait,1978,0.975750493,0.397,0.251,6.22195997,15.011,56.288,20.11613724,28385.91498,8.044744058,12.07123001,48.50205221,0
1241,Lebanon,1978,0.22353003,0.281,0.143,0.031114784,1.823,64.104,5.910078231,2.8498,5.852918214,0,5.912928031,0.017643728
1242,Oman,1978,0.337970313,0.136,0.07,1.982012626,1.693,66.438,1.566998667,3188.935727,1.264318742,0.302679924,4.755934394,0
1243,Qatar,1978,0.245545426,0.175,0.118,0,15.704,56.356,3.857071706,12941.44834,1.211125462,2.645480797,16.79852005,0
1244,Saudi Arabia,1978,2.710565018,0.182,0.077,22.47489061,5.738,73.903,53.3818481,138369.3461,42.81467646,10.56650827,191.7511942,0
1245,Syrian Arab Republic ,1978,0.75879958,0.925,1.076,1.84490484,1.222,57.693,10.26571982,16575.19697,10.17783707,0.06812704,26.84091679,0.019538733
1246,United Arab Emirates,1978,0.42720705,0.176,0.105,0,15.217,61.323,12.32838851,55007.24679,4.424544211,7.903844303,67.33563531,0
1247,Yemen,1978,0.226306111,0.19,0.118,2.060370335,0.283,60.487,2.483546955,2.9262075,2.478050761,0,2.486473163,0
1248,Canada,1979,1.594449852,0.631,0.616,5.000934226,17.243,52.381,423.6079855,23311.4651,251.1377244,95.32248699,446.9194506,76.02956691
1249,Chile,1979,0.503264084,0.407,0.243,0.329816836,1.872,53.712,21.31922991,296.6772575,15.14862302,1.389969351,21.61590716,4.30078171
1250,Colombia,1979,1.335536675,0.403,0.187,0.514239928,1.268,49.585,35.32953772,3792.343188,19.70685434,5.199795726,39.1218809,8.954041759
1251,Costa Rica,1979,0,0.165,0.112,0,1.077,44.518,2.530797856,..,2.466957588,0,..,0.002458573
1252,Mexico,1979,3.778846356,0.39,0.205,0.983227617,2.694,52.287,188.0314897,31872.0009,139.7377193,38.2175878,219.9034906,8.020358068
1253,United States,1979,20.79162801,0.676,0.676,78.79380684,21.325,61.176,4860.258119,257713.383,2324.025689,1101.719533,5117.971502,1429.056432
1254,Australia,1979,2.227225096,0.494,0.548,4.498930653,13.517,69.345,200.2665259,10766.73093,87.85688731,14.06807758,211.0332568,97.6104392
1255,Israel,1979,2.399705608,0.264,0.267,0,5.019,59.785,19.17675915,10.336425,19.1721082,0.000860618,19.18709558,0.002860271
1256,Japan,1979,3.550833024,0.417,0.357,42.82635117,7.903,62.155,924.7951439,4727.6336,689.9869073,45.4025581,929.5227775,189.4056785
1257,Korea,1979,0.811346306,0.771,0.585,0.343398695,3.231,72.541,124.4669789,15068.93533,77.70655277,0,139.5359143,46.76042616
1258,New Zealand,1979,0.604532483,0.228,0.235,1.56418231,5.213,44.337,16.69740768,197.794345,10.78159082,2.089303494,16.89520202,3.75552059
